config;c-grasp;mxdmc (best);comparsion_.csv;out(dmc --elsz 10 --dmstart 0.1 --dmfreq con --ptsz 0.9 --sd 0.3682 );comparsion_3.csv;out(dmc --elsz 10 --dmstart 0.1 --dmfreq con --ptsz 0.9 --sd 0.4465 );out(dmc --elsz 10 --dmstart 0.1 --dmfreq con --ptsz 0.9 --sd 0.3682 );out(dmc --elsz 10 --dmstart 0.1 --dmfreq con --ptsz 0.9 --sd 0.3992 );out(dmc --elsz 10 --dmstart 0.1 --dmfreq con --ptsz 0.9 --sd 0.4465 );out(dmc --elsz 10 --dmstart 0.1 --dmfreq con --ptsz 0.9 --sd 0.4773 );out(dmc --elsz 20 --dmstart 0.8 --dmfreq con --ptsz 1.0 --sd 0.1032 );out(dmc --elsz 20 --dmstart 0.8 --dmfreq con --ptsz 1.0 --sd 0.1672 );out(dmc --elsz 20 --dmstart 0.8 --dmfreq con --ptsz 1.0 --sd 0.8447 );out(mxdmc --elsz 30 --dmstart 0.2 --dmfreq con --ptsz 1.0 --sd 0.2931 );out(mxdmc --elsz 30 --dmstart 0.2 --dmfreq con --ptsz 1.0 --sd 0.297 );out(mxdmc --elsz 30 --dmstart 0.2 --dmfreq con --ptsz 1.0 --sd 0.314 );out(mxdmc --elsz 30 --dmstart 0.2 --dmfreq con --ptsz 1.0 --sd 0.3325 );out(rmxdmc --elsz 10 --dmstart 0.2 --dmfreq con --ptsz 1.0 );out(rmxdmc --elsz 90 --dmstart 0.2 --dmfreq con --ptsz 1.0 --sd 0.1743 );out(rmxdmc --elsz 90 --dmstart 0.2 --dmfreq con --ptsz 1.0 --sd 0.1923 );out(rmxdmc --elsz 90 --dmstart 0.2 --dmfreq con --ptsz 1.0 --sd 0.2555 );out(xdmc --elsz 10 --dmstart 0.4 --dmfreq con --ptsz 1.0 --sd 0.179 );out(xdmc --elsz 10 --dmstart 0.4 --dmfreq con --ptsz 1.0 --sd 0.2151 );out(xdmc --elsz 10 --dmstart 0.4 --dmfreq con --ptsz 1.0 --sd 0.3635 );out(xdmc --elsz 30 --dmstart 0.3 --dmfreq con --ptsz 1.0 --sd 0.294 )
ACKLEY30;16.388;11.8711;4.67782;4.67782;2.5;4.67782;4.67782;4.67782;4.67782;11.6856;11.6856;11.6856;11.1428;11.1428;11.1428;11.1428;14.3489;14.3489;9.78106;9.78106;9.78106;14.0541;14.0541;14.0541;11.2435
BEALE2;0.00240403;0.000176148;0.00037948;0.00037948;14.5;0.00037948;0.00037948;0.00037948;0.00037948;0.000176148;0.000176148;0.000176148;0.00108198;0.00108198;0.00108198;0.00108198;0.000120812;0.000120812;0.000138254;0.000138254;0.000138254;0.000121517;0.000121517;0.000121517;0.000132449
BOHACHEVSKY2;4.9086;0.0944051;0.199067;0.199067;17.5;0.199067;0.199067;0.199067;0.199067;0.0943108;0.0943108;0.0943108;0.0720197;0.0720197;0.0720197;0.0720197;0.0898862;0.0898862;0.085807;0.085807;0.085807;0.0757243;0.0757243;0.0757243;0.0774702
BOOTH2;0.13877;0.0200109;0.0141547;0.0141547;2.5;0.0141547;0.0141547;0.0141547;0.0141547;0.0200234;0.0200234;0.0200234;0.0275878;0.0275878;0.0275878;0.0275878;0.0323047;0.0323047;0.0157779;0.0157779;0.0157779;0.0276323;0.0276323;0.0276323;0.0253122
BRANIN2;0.398198;0.397975;0.398058;0.398058;11.5;0.398058;0.398058;0.398058;0.398058;0.398182;0.398182;0.398182;0.398013;0.398013;0.398013;0.398013;0.397997;0.397997;0.397946;0.397946;0.397946;0.398317;0.398317;0.398317;0.398312
COLVILLE4;41.1252;2.92774;1.86048;1.86048;7.5;1.86048;1.86048;1.86048;1.86048;2.94494;2.94494;2.94494;2.14217;2.14217;2.14217;2.14217;1.32062;1.32062;2.74439;2.74439;2.74439;1.56484;1.56484;1.56484;1.95569
DIXONPRICE25;8840.06;1190.57;15.6691;15.6691;2.5;15.6691;15.6691;15.6691;15.6691;958.746;958.746;958.746;591.346;591.346;591.346;591.346;5107.19;5107.19;86.5928;86.5928;86.5928;3294.69;3294.69;3294.69;483.576
EASOM2;-0.800098;-0.998571;-0.999708;-0.999708;2.5;-0.999708;-0.999708;-0.999708;-0.999708;-0.998571;-0.998571;-0.998571;-0.988564;-0.988564;-0.988564;-0.988564;-0.98844;-0.98844;-0.998965;-0.998965;-0.998965;-0.998601;-0.998601;-0.998601;-0.998641
GOLDSTEINPRICE2;12.0686;12.3223;8.0091;8.0091;2.5;8.0091;8.0091;8.0091;8.0091;12.5209;12.5209;12.5209;19.8945;19.8945;19.8945;19.8945;18.3162;18.3162;17.83;17.83;17.83;15.5834;15.5834;15.5834;21.4114
GRIEWANK10;23.8488;2.10574;0.459452;0.459452;2.5;0.459452;0.459452;0.459452;0.459452;2.05517;2.05517;2.05517;1.16234;1.16234;1.16234;1.16234;3.54532;3.54532;0.759729;0.759729;0.759729;3.39173;3.39173;3.39173;1.37187
GRIEWANK20;100.755;0.102656;1.05894;1.05894;16.5;1.05894;1.05894;1.05894;1.05894;0.0865936;0.0865936;0.0865936;0.0928795;0.0928795;0.0928795;0.0928795;0.0754117;0.0754117;0.0754117;0.0754117;0.0754117;0.105437;0.105437;0.105437;0.0737362
HARTMANN3;-3.73409;-3.79374;-3.7834;-3.7834;5.5;-3.7834;-3.7834;-3.7834;-3.7834;-3.79403;-3.79403;-3.79403;-3.66471;-3.66471;-3.66471;-3.66471;-3.61299;-3.61299;-3.60024;-3.60024;-3.60024;-3.72309;-3.72309;-3.72309;-3.71331
HARTMANN6;-3.17153;-3.30689;-3.29452;-3.29452;5.5;-3.29452;-3.29452;-3.29452;-3.29452;-3.26678;-3.26678;-3.26678;-3.28914;-3.28914;-3.28914;-3.28914;-3.293;-3.293;-3.30018;-3.30018;-3.30018;-3.26608;-3.26608;-3.26608;-3.26825
HUMP2;0.000103275;3.37E-05;2.29E-05;2.29E-05;6.5;2.29E-05;2.29E-05;2.29E-05;2.29E-05;3.49E-05;3.49E-05;3.49E-05;4.15E-05;4.15E-05;4.15E-05;4.15E-05;7.35E-05;7.35E-05;1.42E-05;1.42E-05;1.42E-05;3.91E-05;3.91E-05;3.91E-05;1.49E-05
LEVY30;75.7255;8.92458;2.40556;2.40556;5;2.40556;2.40556;2.40556;2.40556;7.50845;7.50845;7.50845;5.37451;5.37451;5.37451;5.37451;15.5693;15.5693;1.95475;1.95475;1.95475;15.7179;15.7179;15.7179;4.99364
MATYAS2;0.000313632;4.08E-05;3.64E-05;3.64E-05;2.5;3.64E-05;3.64E-05;3.64E-05;3.64E-05;4.08E-05;4.08E-05;4.08E-05;4.37E-05;4.37E-05;4.37E-05;4.37E-05;4.54E-05;4.54E-05;3.89E-05;3.89E-05;3.89E-05;5.37E-05;5.37E-05;5.37E-05;5.30E-05
PERM04;2.53544;1.64023;1.10188;1.10188;4.5;1.10188;1.10188;1.10188;1.10188;2.60655;2.60655;2.60655;1.76437;1.76437;1.76437;1.76437;0.846249;0.846249;4.38209;4.38209;4.38209;1.97173;1.97173;1.97173;3.69327
PERM4;2.32429;2.30308;3.90434;3.90434;7.5;3.90434;3.90434;3.90434;3.90434;2.55663;2.55663;2.55663;5.40048;5.40048;5.40048;5.40048;0.322901;0.322901;6.18464;6.18464;6.18464;3.97919;3.97919;3.97919;5.19449
POWELL24;1.75367;0.000356403;0.000130144;0.000130144;12.5;0.000130144;0.000130144;0.000130144;0.000130144;0.000347393;0.000347393;0.000347393;8.20E-05;8.20E-05;8.20E-05;8.20E-05;5.58E-05;5.58E-05;0.00013424;0.00013424;0.00013424;7.34E-05;7.34E-05;7.34E-05;9.57E-05
POWERSUM4;0.210851;0.209939;0.176601;0.176601;11.5;0.176601;0.176601;0.176601;0.176601;0.210835;0.210835;0.210835;0.151022;0.151022;0.151022;0.151022;0.0469379;0.0469379;0.223711;0.223711;0.223711;0.140157;0.140157;0.140157;0.208066
RASTRIGIN10;47.7037;10.5755;15.6161;15.6161;16.5;15.6161;15.6161;15.6161;15.6161;11.1493;11.1493;11.1493;9.40755;9.40755;9.40755;9.40755;19.5411;19.5411;10.0733;10.0733;10.0733;13.5614;13.5614;13.5614;8.2989
RASTRIGIN20;146.05;27.3838;67.4658;67.4658;18.5;67.4658;67.4658;67.4658;67.4658;30.8046;30.8046;30.8046;25.0168;25.0168;25.0168;25.0168;54.6712;54.6712;24.6313;24.6313;24.6313;38.9252;38.9252;38.9252;25.4875
ROSENBROCK10;14786.6;7.71639;9.00175;9.00175;18.5;9.00175;9.00175;9.00175;9.00175;7.08444;7.08444;7.08444;4.63052;4.63052;4.63052;4.63052;3.96693;3.96693;6.30813;6.30813;6.30813;4.22801;4.22801;4.22801;4.88409
ROSENBROCK2;0.00468706;1.24E-05;0.000227902;0.000227902;18.5;0.000227902;0.000227902;0.000227902;0.000227902;1.24E-05;1.24E-05;1.24E-05;1.18E-05;1.18E-05;1.18E-05;1.18E-05;9.23E-06;9.23E-06;1.21E-05;1.21E-05;1.21E-05;9.62E-06;9.62E-06;9.62E-06;1.21E-05
ROSENBROCK20;627241;20.5803;67.7254;67.7254;18.5;67.7254;67.7254;67.7254;67.7254;20.5786;20.5786;20.5786;19.1616;19.1616;19.1616;19.1616;19.3569;19.3569;20.9026;20.9026;20.9026;20.635;20.635;20.635;21.206
ROSENBROCK5;396.83;258.266;77.9439;77.9439;2.5;77.9439;77.9439;77.9439;77.9439;280.911;280.911;280.911;442.867;442.867;442.867;442.867;789.512;789.512;392.253;392.253;392.253;492.273;492.273;492.273;397.195
SCHWEFEL2;0.342297;0.00118061;3.06774;3.06774;18.5;3.06774;3.06774;3.06774;3.06774;0.00118061;0.00118061;0.00118061;0.00110625;0.00110625;0.00110625;0.00110625;0.00113087;0.00113087;0.000832411;0.000832411;0.000832411;0.00108019;0.00108019;0.00108019;0.000935192
SCHWEFEL6;463.072;312.456;110.572;110.572;2.5;110.572;110.572;110.572;110.572;450.692;450.692;450.692;431.449;431.449;431.449;431.449;417.117;417.117;529.947;529.947;529.947;400.389;400.389;400.389;578.611
SHEKEL410;-2.24998;-4.39088;-5.90947;-2.028;2.5;-5.90947;-2.028;-5.90947;-5.90947;-4.22426;-4.22426;-4.22426;-4.21121;-4.21121;-4.21121;-4.92146;-4.92146;-4.83769;-4.83769;-4.83769;-4.83769;-4.4009;-4.4009;-4.4009;-4.4009
SHEKEL45;-2.24641;-4.3389;-5.90723;-2.42011;2.5;-5.90723;-2.42011;-5.90723;-5.90723;-4.18813;-4.18813;-4.18813;-4.20498;-4.20498;-4.20498;-1.24856;-1.45142;-4.97804;-4.63104;-4.63104;-4.63104;-4.41162;-4.41162;-4.41162;-4.14454
SHEKEL47;-2.24787;-4.44157;-5.89917;-3.26504;2.5;-5.89917;-3.26504;-5.89917;-5.89917;-4.23552;-4.23552;-4.23552;-4.18417;-4.18417;-4.18417;-1.26564;-4.87609;-5.01434;-5.01434;-5.01434;-5.01434;-4.40642;-4.40642;-4.40642;-4.16349
SHUBERT2;-186.705;-186.714;-186.666;-186.666;18.5;-186.666;-186.666;-186.666;-186.666;-186.705;-186.705;-186.705;-186.695;-186.695;-186.695;-186.695;-186.682;-186.682;-186.701;-186.701;-186.701;-186.686;-186.686;-186.686;-186.685
SPHERE3;0.16639;0.0728468;0.167424;0.167424;13.5;0.167424;0.167424;0.167424;0.167424;0.0728488;0.0728488;0.0728488;0.142502;0.142502;0.142502;0.142502;0.309984;0.309984;0.0585181;0.0585181;0.0585181;0.196154;0.196154;0.196154;0.111629
SPHERE30;29.0776;0.0382504;1.25725;1.25725;19;1.25725;1.25725;1.25725;1.25725;0.0383054;0.0383054;0.0383054;0.00630149;0.00630149;0.00630149;0.00630149;0.00495402;0.00495402;0.0124899;0.0124899;0.0124899;0.0060664;0.0060664;0.0060664;0.00762839
SUMSQUARES10;155.554;1.92461;2.6175;2.6175;18.5;2.6175;2.6175;2.6175;2.6175;1.87984;1.87984;1.87984;1.15325;1.15325;1.15325;1.15325;0.719979;0.719979;1.92286;1.92286;1.92286;0.768177;0.768177;0.768177;1.16794
SUMSQUARES20;1031.26;22.9226;13.2516;13.2516;12.5;13.2516;13.2516;13.2516;13.2516;22.8764;22.8764;22.8764;8.05661;8.05661;8.05661;8.05661;5.15625;5.15625;19.8869;19.8869;19.8869;6.22696;6.22696;6.22696;9.08566
TRID10;2537.67;-209.985;-207.042;-207.042;18.5;-207.042;-207.042;-207.042;-207.042;-209.985;-209.985;-209.985;-209.994;-209.994;-209.994;-209.994;-209.996;-209.996;-209.992;-209.992;-209.992;-209.994;-209.994;-209.994;-209.993
TRID6;52.3595;-49.9989;-49.9762;-49.9762;18.5;-49.9762;-49.9762;-49.9762;-49.9762;-49.999;-49.999;-49.999;-49.9992;-49.9992;-49.9992;-49.9992;-49.9994;-49.9994;-49.9992;-49.9992;-49.9992;-49.9994;-49.9994;-49.9994;-49.9992
ZAKHAROV10;17.9727;0.00781483;0.032586;0.032586;18.5;0.032586;0.032586;0.032586;0.032586;0.00767612;0.00767612;0.00767612;0.00619245;0.00619245;0.00619245;0.00619245;0.00473134;0.00473134;0.00804777;0.00804777;0.00804777;0.00482721;0.00482721;0.00482721;0.00663889
ZAKHAROV2;0.00529327;0.000925939;0.000444137;0.000444137;2.5;0.000444137;0.000444137;0.000444137;0.000444137;0.000925939;0.000925939;0.000925939;0.00127452;0.00127452;0.00127452;0.00127452;0.00147454;0.00147454;0.00107543;0.00107543;0.00107543;0.0014896;0.0014896;0.0014896;0.00128534
ZAKHAROV20;70.7256;0.00376844;0.251368;0.251368;18.5;0.251368;0.251368;0.251368;0.251368;0.00371953;0.00371953;0.00371953;0.00272724;0.00272724;0.00272724;0.00272724;0.0022736;0.0022736;0.00327502;0.00327502;0.00327502;0.00250692;0.00250692;0.00250692;0.00274931
ZAKHAROV5;8.78396;2.18256;2.38006;2.38006;8.5;2.38006;2.38006;2.38006;2.38006;2.12678;2.12678;2.12678;3.07694;3.07694;3.07694;3.07694;7.19864;7.19864;2.0029;2.0029;2.0029;5.37227;5.37227;5.37227;2.51915
;;;;;;;;;;;;;;;;;;;;;;;;;
ACKLEY30;25;19;4.5;4.5;1;4.5;4.5;4.5;4.5;17;17;17;12.5;12.5;12.5;12.5;23.5;23.5;9;9;9;21;21;21;15
BEALE2;24;11.5;16.5;16.5;25;16.5;16.5;16.5;16.5;11.5;11.5;11.5;21.5;21.5;21.5;21.5;1.5;1.5;8;8;8;4;4;4;6
BOHACHEVSKY2;24;17;20.5;20.5;25;20.5;20.5;20.5;20.5;15;15;15;2.5;2.5;2.5;2.5;12.5;12.5;10;10;10;6;6;6;8
BOOTH2;24;10;3.5;3.5;25;3.5;3.5;3.5;3.5;12;12;12;16.5;16.5;16.5;16.5;22.5;22.5;8;8;8;20;20;20;14
BRANIN2;20;4;13.5;13.5;25;13.5;13.5;13.5;13.5;18;18;18;8.5;8.5;8.5;8.5;5.5;5.5;2;2;2;23;23;23;21
COLVILLE4;25;20;8.5;8.5;24;8.5;8.5;8.5;8.5;22;22;22;14.5;14.5;14.5;14.5;1.5;1.5;18;18;18;4;4;4;12
DIXONPRICE25;25;19;4.5;4.5;1;4.5;4.5;4.5;4.5;17;17;17;13.5;13.5;13.5;13.5;23.5;23.5;9;9;9;21;21;21;11
EASOM2;24;15.5;3.5;3.5;25;3.5;3.5;3.5;3.5;15.5;15.5;15.5;19.5;19.5;19.5;19.5;22.5;22.5;8;8;8;12;12;12;10
GOLDSTEINPRICE2;8;9;4.5;4.5;1;4.5;4.5;4.5;4.5;11;11;11;22.5;22.5;22.5;22.5;19.5;19.5;17;17;17;14;14;14;25
GRIEWANK10;25;18;3.5;3.5;19;3.5;3.5;3.5;3.5;16;16;16;11.5;11.5;11.5;11.5;23.5;23.5;8;8;8;21;21;21;14
GRIEWANK20;25;14;20.5;20.5;24;20.5;20.5;20.5;20.5;8;8;8;11.5;11.5;11.5;11.5;4;4;4;4;4;16;16;16;1
HARTMANN3;11;4;7.5;7.5;25;7.5;7.5;7.5;7.5;2;2;2;17.5;17.5;17.5;17.5;20.5;20.5;23;23;23;13;13;13;15
HARTMANN6;24;1;7.5;7.5;25;7.5;7.5;7.5;7.5;19;19;19;14.5;14.5;14.5;14.5;11.5;11.5;3;3;3;22;22;22;17
HUMP2;24;11;9.5;9.5;25;6.5;6.5;6.5;6.5;13;13;13;19.5;19.5;19.5;19.5;22.5;22.5;2;2;2;16;16;16;4
LEVY30;25;19;6.5;6.5;11;6.5;6.5;6.5;6.5;17;17;17;13.5;13.5;13.5;13.5;20.5;20.5;2;2;2;23;23;23;10
MATYAS2;24;11.5;1.5;1.5;25;4.5;4.5;4.5;4.5;11.5;11.5;11.5;15.5;15.5;15.5;15.5;18.5;18.5;8;8;8;22;22;22;20
PERM04;17;9;5.5;5.5;25;5.5;5.5;5.5;5.5;19;19;19;11.5;11.5;11.5;11.5;1.5;1.5;23;23;23;15;15;15;21
PERM4;4;3;10.5;10.5;25;10.5;10.5;10.5;10.5;6;6;6;19.5;19.5;19.5;19.5;1.5;1.5;23;23;23;15;15;15;17
POWELL24;24;23;13.5;13.5;25;13.5;13.5;13.5;13.5;21;21;21;7.5;7.5;7.5;7.5;1.5;1.5;18;18;18;4;4;4;10
POWERSUM4;21;17;12.5;12.5;25;12.5;12.5;12.5;12.5;19;19;19;7.5;7.5;7.5;7.5;1.5;1.5;23;23;23;4;4;4;16
RASTRIGIN10;25;9;18.5;18.5;22;18.5;18.5;18.5;18.5;11;11;11;3.5;3.5;3.5;3.5;23.5;23.5;7;7;7;14;14;14;1
RASTRIGIN20;25;10;21.5;21.5;1;21.5;21.5;21.5;21.5;12;12;12;6.5;6.5;6.5;6.5;17.5;17.5;3;3;3;15;15;15;9
ROSENBROCK10;25;17;20.5;20.5;24;20.5;20.5;20.5;20.5;15;15;15;7.5;7.5;7.5;7.5;1.5;1.5;12;12;12;4;4;4;10
ROSENBROCK2;24;17;20.5;20.5;25;20.5;20.5;20.5;20.5;15;15;15;7.5;7.5;7.5;7.5;1.5;1.5;11;11;11;4;4;4;13
ROSENBROCK20;25;11;21.5;21.5;1;21.5;21.5;21.5;21.5;9;9;9;3.5;3.5;3.5;3.5;6.5;6.5;16;16;16;13;13;13;18
ROSENBROCK5;15;8;4.5;4.5;1;4.5;4.5;4.5;4.5;10;10;10;18.5;18.5;18.5;18.5;24.5;24.5;13;13;13;22;22;22;16
SCHWEFEL2;18;15.5;21.5;21.5;25;21.5;21.5;21.5;21.5;15.5;15.5;15.5;9.5;9.5;9.5;9.5;12.5;12.5;2;2;2;6;6;6;4
SCHWEFEL6;21;8;4.5;4.5;1;4.5;4.5;4.5;4.5;19;19;19;15.5;15.5;15.5;15.5;12.5;12.5;23;23;23;10;10;10;25
SHEKEL410;22;15;2.5;23.5;25;2.5;23.5;2.5;2.5;17;17;17;20;20;20;5.5;5.5;8.5;8.5;8.5;8.5;12.5;12.5;12.5;12.5
SHEKEL45;22;12;2.5;20.5;25;2.5;20.5;2.5;2.5;17;17;17;14;14;14;24;23;5;7;7;7;10;10;10;19
SHEKEL47;23;10;2.5;21.5;25;2.5;21.5;2.5;2.5;15;15;15;18;18;18;24;9;6.5;6.5;6.5;6.5;12;12;12;20
SHUBERT2;3.5;1;21.5;21.5;25;21.5;21.5;21.5;21.5;3.5;3.5;3.5;10.5;10.5;10.5;10.5;17.5;17.5;7;7;7;14;14;14;16
SPHERE3;13;4;16.5;16.5;25;16.5;16.5;16.5;16.5;6;6;6;10.5;10.5;10.5;10.5;23.5;23.5;2;2;2;21;21;21;8
SPHERE30;25;14;20.5;20.5;24;20.5;20.5;20.5;20.5;16;16;16;7.5;7.5;7.5;7.5;1.5;1.5;12;12;12;4;4;4;10
SUMSQUARES10;25;17;20.5;20.5;24;20.5;20.5;20.5;20.5;12;12;12;7.5;7.5;7.5;7.5;1.5;1.5;15;15;15;4;4;4;10
SUMSQUARES20;25;24;14.5;14.5;11;14.5;14.5;14.5;14.5;22;22;22;7.5;7.5;7.5;7.5;1.5;1.5;19;19;19;4;4;4;10
TRID10;25;15.5;20.5;20.5;24;20.5;20.5;20.5;20.5;15.5;15.5;15.5;6;6;6;6;1.5;1.5;12;12;12;6;6;6;10
TRID6;25;17;20.5;20.5;24;20.5;20.5;20.5;20.5;15;15;15;9.5;9.5;9.5;9.5;3;3;9.5;9.5;9.5;3;3;3;9.5
ZAKHAROV10;24;14;20.5;20.5;25;20.5;20.5;20.5;20.5;12;12;12;7.5;7.5;7.5;7.5;1.5;1.5;16;16;16;4;4;4;10
ZAKHAROV2;24;8.5;3.5;3.5;25;3.5;3.5;3.5;3.5;8.5;8.5;8.5;15.5;15.5;15.5;15.5;19.5;19.5;12;12;12;22;22;22;18
ZAKHAROV20;25;17;20.5;20.5;24;20.5;20.5;20.5;20.5;15;15;15;7.5;7.5;7.5;7.5;1.5;1.5;12;12;12;4;4;4;10
ZAKHAROV5;25;7;10.5;10.5;24;10.5;10.5;10.5;10.5;5;5;5;16.5;16.5;16.5;16.5;22.5;22.5;2;2;2;20;20;20;14
;907.5;527;508;566;836;508;566;508;508;576.5;576.5;576.5;511;511;511;512.5;492;474.5;453.5;453.5;453.5;524.5;524.5;524.5;540
;25;17;6;19;24;6;19;6;6;21;21;21;10;10;10;13;5;4;1;1;1;14;14;14;18
