Func;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;BestFO;;;;;;;;;;;;;;;
ACKLEY30;3.50204;3.50204;3.50204;3.50204;8.96571;8.96571;8.96571;8.24411;8.24411;8.24411;8.24411;9.60582;9.60582;6.63444;6.63444;6.63444;10.3379;10.3379;10.3379;7.97149;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
BEALE2;2.47E-06;2.47E-06;2.47E-06;2.47E-06;3.49E-07;3.49E-07;3.49E-07;9.95E-07;9.95E-07;9.95E-07;9.95E-07;9.74E-07;9.74E-07;2.31E-06;2.31E-06;2.31E-06;1.41E-07;1.41E-07;1.41E-07;1.45E-07;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
BOHACHEVSKY2;0.0021798;0.0021798;0.0021798;0.0021798;4.05E-05;4.05E-05;4.05E-05;3.23E-05;3.23E-05;3.23E-05;3.23E-05;1.57E-05;1.57E-05;7.60E-05;7.60E-05;7.60E-05;0.00044474;0.00044474;0.00044474;0.00041595;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO
BOOTH2;0.000153345;0.000153345;0.000153345;0.000153345;8.80E-08;8.80E-08;8.80E-08;0.000419854;0.000419854;0.000419854;0.000419854;7.33E-05;7.33E-05;0.000260855;0.000260855;0.000260855;6.46E-06;6.46E-06;6.46E-06;0.000122682;;FALSO;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
BRANIN2;0.397888;0.397888;0.397888;0.397888;0.397887;0.397887;0.397887;0.397887;0.397887;0.397887;0.397887;0.397888;0.397888;0.39789;0.39789;0.39789;0.397888;0.397888;0.397888;0.397887;;FALSO;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO
COLVILLE4;0.0223244;0.0223244;0.0223244;0.0223244;0.0251955;0.0251955;0.0251955;0.00931615;0.00931615;0.00931615;0.00931615;0.00533193;0.00533193;0.00929106;0.00929106;0.00929106;0.00766373;0.00766373;0.00766373;0.0217379;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO
DIXONPRICE25;4.42303;4.42303;4.42303;4.42303;118.883;118.883;118.883;125.822;125.822;125.822;125.822;1180.81;1180.81;26.1133;26.1133;26.1133;908.488;908.488;908.488;119.948;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
EASOM2;-0.999998;-0.999998;-0.999998;-0.999998;-0.99999;-0.99999;-0.99999;-0.999997;-0.999997;-0.999997;-0.999997;-0.999985;-0.999985;-0.999978;-0.999978;-0.999978;-0.999991;-0.999991;-0.999991;-0.999991;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
GOLDSTEINPRICE2;3.02674;3.02674;3.02674;3.02674;3.16532;3.16532;3.16532;3.9513;3.9513;3.9513;3.9513;3.0505;3.0505;3.10103;3.10103;3.10103;3.09911;3.09911;3.09911;3.74438;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
GRIEWANK10;0.109216;0.109216;0.109216;0.109216;0.0858738;0.0858738;0.0858738;0.107428;0.107428;0.107428;0.107428;0.637474;0.637474;0.103119;0.103119;0.103119;0.240589;0.240589;0.240589;0.104817;;FALSO;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
GRIEWANK20;0.892769;0.892769;0.892769;0.892769;0.00589965;0.00589965;0.00589965;0.00384274;0.00384274;0.00384274;0.00384274;0.00307218;0.00307218;0.00307218;0.00435419;0.00435419;0.00435419;0.00465802;;;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO
HARTMANN3;-3.86268;-3.86268;-3.86268;-3.86268;-3.86087;-3.86087;-3.86087;-3.85724;-3.85724;-3.85724;-3.85724;-3.85864;-3.85864;-3.8562;-3.8562;-3.8562;-3.85875;-3.85875;-3.85875;-3.858;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
HARTMANN6;-3.32228;-3.32228;-3.32228;-3.32228;-3.32217;-3.32217;-3.32217;-3.3221;-3.3221;-3.3221;-3.3221;-3.32226;-3.32226;-3.32189;-3.32189;-3.32189;-3.32227;-3.32227;-3.32227;-3.32212;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
HUMP2;1.60E-07;1.60E-07;1.60E-07;1.60E-07;2.49E-07;2.49E-07;2.49E-07;6.32E-08;6.32E-08;6.32E-08;6.32E-08;1.94E-07;1.94E-07;8.05E-08;8.05E-08;8.05E-08;4.67E-08;4.67E-08;4.67E-08;8.34E-08;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
LEVY30;1.21788;1.21788;1.21788;1.15478;1.15478;1.15478;0.454265;0.454265;0.454265;0.454265;1.42754;1.42754;0.544055;0.544055;0.544055;2.62892;2.62892;2.62892;0.902388;;;FALSO;;;;;;;;;;;;
MATYAS2;5.08E-08;5.08E-08;5.08E-08;5.08E-08;7.31E-07;7.31E-07;7.31E-07;5.42E-07;5.42E-07;5.42E-07;5.42E-07;5.45E-07;5.45E-07;9.85E-08;9.85E-08;9.85E-08;2.50E-08;2.50E-08;2.50E-08;6.35E-08;;FALSO;;;;;;;;;;;;
PERM04;0.0063141;0.0063141;0.0063141;0.0063141;0.0131489;0.0131489;0.0131489;0.00500946;0.00500946;0.00500946;0.00500946;0.000464663;0.000464663;0.0894515;0.0894515;0.0894515;0.00238116;0.00238116;0.00238116;0.00654994;;FALSO;;;;;;;;;;;;
PERM4;0.00683998;0.00683998;0.00683998;0.00683998;0.0751346;0.0751346;0.0751346;0.00499993;0.00499993;0.00499993;0.00499993;0.002959;0.002959;0.551472;0.551472;0.551472;0.00495229;0.00495229;0.00495229;0.0751346;;FALSO;;;;;;;;;;;;
POWELL24;2.66E-06;2.66E-06;2.66E-06;2.66E-06;7.68E-07;7.68E-07;7.68E-07;1.39E-06;1.39E-06;1.39E-06;1.39E-06;4.52E-07;4.52E-07;8.74E-07;8.74E-07;8.74E-07;2.89E-07;2.89E-07;2.89E-07;1.94E-06;;FALSO;;;;;;;;;;;;
POWERSUM4;0.00305942;0.00305942;0.00305942;0.00305942;0.0156342;0.0156342;0.0156342;0.00162765;0.00162765;0.00162765;0.00162765;0.00226194;0.00226194;0.00238042;0.00238042;0.00238042;0.00704478;0.00704478;0.00704478;0.00980754;;FALSO;;;;;;;;;;;;
RASTRIGIN10;2.41442;2.41442;2.41442;2.41442;2.71722;2.71722;2.71722;2.95534;2.95534;2.95534;2.95534;5.02929;5.02929;3.18722;3.18722;3.18722;4.39741;4.39741;4.39741;2.43181;;VERDADEIRO;;;;;;;;;;;;
RASTRIGIN20;33.251;33.251;33.251;33.251;11.1473;11.1473;11.1473;11.2893;11.2893;11.2893;11.2893;20.8463;20.8463;13.3218;13.3218;13.3218;14.172;14.172;14.172;14.1607;;FALSO;;;;;;;;;;;;
ROSENBROCK10;0.39117;0.39117;0.39117;0.39117;0.125937;0.125937;0.125937;0.0813876;0.0813876;0.0813876;0.0813876;0.72882;0.72882;0.0120669;0.0120669;0.0120669;0.028754;0.028754;0.028754;0.129204;;FALSO;;;;;;;;;;;;
ROSENBROCK2;4.52E-06;4.52E-06;4.52E-06;4.52E-06;1.32E-07;1.32E-07;1.32E-07;2.32E-07;2.32E-07;2.32E-07;2.32E-07;9.48E-08;9.48E-08;1.28E-07;1.28E-07;1.28E-07;1.72E-07;1.72E-07;1.72E-07;7.13E-07;;;;;;;;;;;;;;
ROSENBROCK20;26.179;26.179;26.179;26.179;13.5645;13.5645;13.5645;8.87026;8.87026;8.87026;8.87026;13.4423;13.4423;6.9214;6.9214;6.9214;15.2846;15.2846;15.2846;6.9296;;;;;;;;;;;;;;
ROSENBROCK5;0.740422;0.740422;0.740422;0.740422;29.9819;29.9819;29.9819;46.5017;46.5017;46.5017;46.5017;43.1673;43.1673;18.0568;18.0568;18.0568;37.3807;37.3807;37.3807;10.1957;;;;;;;;;;;;;;
SCHWEFEL2;2.63E-05;2.63E-05;2.63E-05;2.63E-05;2.72E-05;2.72E-05;2.72E-05;3.06E-05;3.06E-05;3.06E-05;3.06E-05;3.10E-05;3.10E-05;4.50E-05;4.50E-05;4.50E-05;3.69E-05;3.69E-05;3.69E-05;2.85E-05;;;;;;;;;;;;;;
SCHWEFEL6;0.00236682;0.00236682;0.00236682;0.00236682;0.0028034;0.0028034;0.0028034;0.00410782;0.00410782;0.00410782;0.00410782;0.004251;0.004251;118.446;118.446;118.446;0.0025961;0.0025961;0.0025961;118.447;;;;;;;;;;;;;;
SHEKEL410;-9.31699;-9.31699;-9.31699;-9.31699;-6.39588;-6.39588;-6.39588;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHEKEL45;-9.82059;-9.82059;-9.82059;-9.82059;-7.34767;-7.34767;-7.34767;-7.31736;-7.31736;-7.31736;-7.31736;-4.83311;-4.83311;-5.33274;-5.33274;-5.33274;-5.30272;-5.30272;-5.30272;-6.14845;;;;;;;;;;;;;;
SHEKEL47;-9.84461;-9.84461;-9.84461;-9.84461;-8.89602;-8.89602;-8.89602;-3.56332;-3.56332;-3.56332;-3.56332;-4.74272;-4.74272;-4.74272;-3.30416;;;;;;;;;;;;;;;;;;;
SHUBERT2;-186.731;-186.731;-186.731;-186.731;-186.731;-186.731;-186.731;-186.731;-186.731;-186.731;-186.731;-186.731;-186.731;-186.731;-186.731;-186.731;-186.73;-186.73;-186.73;-186.731;;;;;;;;;;;;;;
SPHERE3;0.00012189;0.00012189;0.00012189;0.00012189;0.000722662;0.000722662;0.000722662;0.00189749;0.00189749;0.00189749;0.00189749;0.00232864;0.00232864;0.00047389;0.00047389;0.00047389;0.00232864;0.00232864;0.00232864;0.0031504;;;;;;;;;;;;;;
SPHERE30;0.678291;0.678291;0.678291;0.0166199;0.0166199;0.0166199;0.00282134;0.00282134;0.00282134;0.00282134;0.00231307;0.00231307;0.00730616;0.00730616;0.00730616;0.00249852;0.00249852;0.00249852;0.00382613;;;;;;;;;;;;;;;
SUMSQUARES10;0.208944;0.208944;0.208944;0.208944;0.384084;0.384084;0.384084;0.305813;0.305813;0.305813;0.305813;0.13787;0.13787;0.582322;0.582322;0.582322;0.166265;0.166265;0.166265;0.405195;;;;;;;;;;;;;;
SUMSQUARES20;5.39733;5.39733;5.39733;5.39733;11.0116;11.0116;11.0116;4.37567;4.37567;4.37567;4.37567;2.78181;2.78181;12.5125;12.5125;12.5125;2.57132;2.57132;2.57132;4.66742;;;;;;;;;;;;;;
TRID10;-209.967;-209.967;-209.967;-209.967;-209.998;-209.998;-209.998;-209.998;-209.998;-209.998;-209.998;-209.999;-209.999;-209.998;-209.998;-209.998;-209.999;-209.999;-209.999;-209.998;;;;;;;;;;;;;;
TRID6;-49.9988;-49.9988;-49.9988;-49.9988;-49.9997;-49.9997;-49.9997;-49.9998;-49.9998;-49.9998;-49.9998;-49.9999;-49.9999;-49.9998;-49.9998;-49.9998;-49.9999;-49.9999;-49.9999;-49.9998;;;;;;;;;;;;;;
ZAKHAROV10;0.00893612;0.00893612;0.00893612;0.00893612;0.0018899;0.0018899;0.0018899;0.00277839;0.00277839;0.00277839;0.00277839;0.00150101;0.00150101;0.004158;0.004158;0.004158;0.00159917;0.00159917;0.00159917;0.00221812;;;;;;;;;;;;;;
ZAKHAROV2;8.17E-07;8.17E-07;8.17E-07;8.17E-07;2.52E-06;2.52E-06;2.52E-06;5.86E-07;5.86E-07;5.86E-07;5.86E-07;8.04E-07;8.04E-07;2.09E-06;2.09E-06;2.09E-06;3.51E-07;3.51E-07;3.51E-07;7.18E-06;;;;;;;;;;;;;;
ZAKHAROV20;0.0949165;0.0949165;0.0949165;0.0949165;0.00164776;0.00164776;0.00164776;0.00141616;0.00141616;0.00141616;0.00141616;0.00116327;0.00116327;0.00207779;0.00207779;0.00207779;0.0011382;0.0011382;0.0011382;0.00156884;;;;;;;;;;;;;;
ZAKHAROV5;0.0137948;0.0137948;0.0137948;0.0137948;0.123901;0.123901;0.123901;0.264483;0.264483;0.264483;0.264483;0.461964;0.461964;0.0515986;0.0515986;0.0515986;0.449944;0.449944;0.449944;0.123172;;;;;;;;;;;;;;
